Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp
719,4.08008345,8.036024426,2.099046773,83.76095657,79.86614544
555,3.775529123,5.821323712,1.823831571,74.42306593,70.43330932
814,4.073485693,5.257120244,1.866570541,81.84006988,76.71559076
379,2.724638884,4.712955443,1.981593448,77.09225987,76.10672686
868,2.672808765,5.273916775,1.905387341,78.47547761,72.08836147
724,2.79897587,10.741345,1.530755924,75.92585432,70.72016571
806,5.024187072,18.50018138,2.225124376,76.56865735,78.54727467
488,5.229103011,2.769050659,2.874110244,78.31256393,87.95248008
1041,4.521052604,6.210473426,3.187333879,79.19700639,71.81744631
1427,2.843244761,4.407384451,2.191825573,75.03197709,78.14429599
1123,3.211093877,5.40943122,1.711328108,78.54973934,91.42604838
534,4.66098905,8.305832594,1.256540176,84.22639189,75.45109664
486,3.987220084,10.19559295,2.414339729,77.26209268,80.29999136
479,2.833384204,5.316903806,2.173127291,84.94487234,90.56434076
690,4.396677369,4.546554123,4.797659564,77.07085601,86.78160417
707,2.823437507,10.33013856,2.366585647,78.43872665,68.77958416
499,4.237938307,5.197519743,1.561666834,76.66008741,83.86141909
544,2.517851332,7.275626704,2.657825569,77.37671507,80.27776861
456,2.190241827,6.121580395,2.671875132,76.44409926,78.63520164
386,3.589420039,9.401784029,1.95989339,76.71013919,72.29212211
878,3.455617475,6.717950321,2.667292176,75.24627949,80.65363194
954,2.016858985,3.514316736,2.123193301,78.44475953,74.0494942
1200,2.584646576,7.104493936,1.439067787,78.97189914,76.23912255
692,3.628759115,7.164816361,1.375616884,84.67648959,78.64729167
620,2.713733979,3.358566531,2.105069232,77.77714994,77.87515179
1220,2.035676327,6.769503567,1.54224506,76.84209622,82.7034994
919,3.61609765,5.615713285,3.02186988,76.91876963,78.00371507
774,4.022736954,6.080549519,2.578845094,75.61275722,66.09605554
460,3.584437128,6.66221223,2.695451337,77.06250739,80.26912166
1011,5.085095349,5.451617608,1.36220044,83.72262412,74.44486388
697,4.586139942,5.980066207,1.411176363,76.48292603,79.62608806
563,4.613939913,6.511851266,1.640371112,73.73050934,74.40018286
762,3.477944845,5.132182655,1.131506797,75.0716721,71.45612324
919,2.524388264,5.262507852,1.56085439,75.07239979,77.91451266
489,2.274050529,5.673031868,2.09412513,77.05486827,80.3512841
788,3.233824882,6.167775187,2.943938468,75.8194127,80.4685055
1001,3.570930451,15.78079991,3.882669538,76.54167524,86.38928347
1320,2.460605593,6.232506999,1.655347246,76.17253213,80.88891188
577,2.356359028,5.034483024,2.059390938,75.90965706,73.91770225
823,2.377631328,2.604273235,1.977949811,73.11317197,76.89877273
620,3.378239744,7.474843769,2.527774399,76.09006488,73.37464539
751,3.521349139,2.129485351,2.012107855,77.85006438,69.69794206
863,3.793133287,5.331515417,2.425042462,77.13431109,76.79156062
1022,2.661487956,5.247991944,2.751079835,77.45959518,81.89869145
926,4.023769238,8.906980285,1.753711485,78.0350559,81.44759226
704,3.909456588,7.392878041,2.936018119,78.47332428,79.34654553
1162,2.029417721,3.661626679,2.876070354,75.85182314,91.82027287
555,3.909420142,6.620678083,2.375016674,76.42979651,81.23365421
645,2.828503877,10.47814797,1.930861437,77.46278513,80.2025899
979,3.935145936,6.294923789,5.164652319,77.10212596,65.61217163
515,3.706904793,6.084795772,4.738293787,75.75121219,90.41211714
597,3.493870602,4.278637675,2.152846323,84.69115623,76.26166113
899,2.205858645,7.56670839,3.101864421,76.94127802,78.20223166
749,3.379444696,4.377735519,3.01599996,77.04793318,88.56364643
854,3.046016219,6.861040033,1.252787142,73.3924751,87.65516827
626,4.712342003,6.347638986,2.475455532,79.83383543,70.72034358
610,3.705537579,4.3482593,3.500529827,76.0666096,79.74963558
518,2.754011675,4.45637229,2.453289169,78.16905186,77.8784687
610,4.2297995,5.423975313,3.072546979,76.69250408,79.41828425
645,4.024922678,4.700539017,1.833863899,74.50327099,82.92686382
698,3.469154154,5.276572964,2.034268945,73.4508997,65.58280847
568,2.43507806,5.910035325,4.017116803,76.18820421,76.55691849
994,0.224111577,8.18158933,2.700268249,81.36011296,68.67722943
643,2.097647382,9.987588705,2.690659987,78.9568453,85.82661975
1199,1.580588357,7.630737153,2.880732999,81.7087945,71.27775434
1150,4.341194856,4.74795037,4.516183943,76.10248517,83.69585856
1175,2.32182249,5.345104844,1.910152723,78.84382152,84.88347947
1051,3.434320495,0.590956726,2.720359445,85.16422112,89.14070669
537,4.793924394,6.473239023,1.493055247,76.18367627,72.56714615
489,2.778089008,5.437664328,1.755012332,77.82063186,78.60322175
661,2.004924887,4.58136473,1.333132424,76.0225698,78.27335738
874,2.707494128,7.566030691,2.025856899,75.23421848,71.24147064
768,3.930075806,8.669401284,1.477826486,76.45760825,74.76368522
509,4.205847732,4.837473349,2.154952623,77.51850538,77.97590179
489,3.81997989,5.814483064,2.849713761,77.39277178,76.91601458
712,2.488927695,6.077248022,2.020301247,76.52161916,87.46633328
1538,1.887550227,8.339653558,1.192507276,76.50176316,84.45097548
1047,4.525758586,9.852326189,1.436560341,77.49135202,85.0948564
432,3.234960997,5.587032557,2.912750458,77.43055484,75.62386863
651,3.032999588,5.965318611,2.428607033,77.41850038,79.09857705
1169,3.151479367,10.44517098,2.76279662,74.0820746,77.76883687
527,2.599666808,7.066837691,2.63304639,82.47221496,81.08950137
929,1.937725338,5.647741037,1.166758975,76.45884358,78.04623293
1411,3.518328735,4.158887017,2.044415806,78.0238853,86.24302652
606,1.793985717,8.889421379,1.372721104,75.71409808,75.84217058
409,2.27994381,6.168619028,2.689318983,77.63337761,73.99291013
532,4.92840245,6.622125865,1.53977725,80.57127861,68.1460947
529,5.22272633,9.278491883,1.86721485,76.81131975,74.15109425
